换货维修运费	要是换货补运费吗
如何评价	那我怎么给评价
售后维修网点	能到店里去修吗
优惠叠加	这叫商品能使用积分购物券和红包吗
保修咨询	保修多久
赠品	送什么礼品啊
购物券使用	这个能用购物券吗
返现咨询	 有返现吗 
商品分类	是bb霜还是cc
发错地址	我有个快递发错地方了
用法用量	这个怎么玩的啊
发货地	这上面为什么不显示从哪里发货啊
是否正品	是真品还是高仿的
默认快递	你们托运什么快递公司
红包未收到	送我的红包在哪里
索要图片信息	这个颜色有实拍图么
申请退款后发货	怎么发货了，我申请退款了
优惠券无法领	赠品券领不到
优惠影响	可是价格已经没有优惠了，重新拍单
货已收到	东西收到了
已拍已付	已经付款了
支持花呗	支持分期付款吗
为何还有运费	 包邮的，结算时有快递费 
优惠券无法领	那个优惠券不能领了
填改退货单号	我的退货单号录入错了，怎么办啊
尾款无法支付	一直点支付尾款没反应
会员信息查询	我会员等级是多少
如何下单选购	 可以拍两个码吗 
积分兑换	现在积分兑换在哪里点
优惠券未收到	一元秒的优惠卷在哪里看
物流异常	 是快递异常吗 
求加微信	要怎样加微信
无法申请退款	已经没办法申请退款了
为何还有运费	 怎么有运费了 
直播间福利	直播什么时候抽奖啊
开票内容	可以开公司名称发票吗
优惠券未收到	收藏之后有没有优惠券在哪里看呀
赠品缺失	是不是少了一套赠品啊
邮费咨询	 亲，活动的时候还有运费吗 
请求活动通知	有活动能短信告诉我吗
凑单咨询	请问凑单怎么凑呢
支持花呗	是否支持分期
索要补发信息	 我的遗失件什么时候补发
发货地	从香港直接发货吗
商品日期	保鲜期几天
直播渠道	我在李嘉琪直播间看的
预约送货时间	亲，能下午1点以后送不
售后服务咨询	请问是换货还是维修
商品说明	opo是什么
花呗还款	花呗怎么分期还款
商品尺寸	长宽大概多少
请求活动通知	早有活动为什么不通知呢
少件	这2件少发
是否有货	没有17cm的嘛
返红包	限时返红包怎么弄
搭配推荐	蓝色怎么搭配
放弃	无奈
预售尾款	现在付定金到时候还需交多少钱
领取红包	有红包吗
是否正品	是精仿还是正品
花呗期付	12期免息怎么付
是否免息	请问几期免息
填改退货单号	退货单号填哪里
下单减价	 这个订单是不是直接拍下就减钱了，还是收到货才减 
尾款支付问题	明天尾款从哪里支付
功效功能	可以去痘印吗
发票缺失	昨天买的东西没有发票呢
会员信息查询	我会员等级降了
商品尺寸	这是几寸的
催促发货	已经付款，请尽快发货哦
尾款无法支付	怎么还是支付不了尾款
指定快递	直接发EMS行不行
商品单卖	可以单只卖
退货单缺失	我妈去寄的单号给弄丢了
换购	换购条件
活动时间	具体活动结束时间不知道吗
凑单咨询	凑单是啥意思
领取购物券	购物券领取规则
货已拒收	你们让拒收，我拒收了
发票缺失	怎么没有收到发票
货已收到	你好，我昨天下了个订单，货收到了
分地址发货	这款帮我发两个地址
商品议价	优惠点我就拍了，小孩要参加演出
直播领券	直播优惠券发放吗
价格区别	这款价格有好几个,有什么区别
退货形式	分两个包裹寄回来
延迟下单	已经收藏了，双十二下单
订单状态未同步	我已支付尾款了，为什么还提示我要支付尾款
空包	我刚收到是个空包裹
维修需求	怎么维修
货已拒收	今天送货我已经拒收了
催促换货操作	申请过换货了麻烦同意一下
红包使用	获得双11红包使用有效期多久
请求活动链接	给个满减活动的链接
确认收货时间	你好我的订单还有几天自动确认收货啊我这看不到
支持花呗	花呗多少可以分期
货到付款	 我这货到付款是付给快递员吗 
售后服务电话	全国服务热线是多少
付款失败	一直到现在都没付款成功
预约安装	需要预约安装怎么办
合作推广	我这边是淘客推广的，您这款产品需要推广吗
购物券退款	我买的购物券怎么退
清洁保养	能水煮消毒
免定金咨询	请问我刚抽的免定金的怎么用
增值税发票	要开增值税专用发票怎么申请
返现咨询	 怎么返现啊 
商品尺寸	体积多大的
赠品	什么样的赠品
高危风险	天天打电话骚扰
售后维修网点	我们有问题在当地有地方修吗
请求活动通知	有优惠通知我呀
保修咨询	保修是怎么保修的是几年
红包未收到	20元红包在哪里呢
好评返利	晒图（晒单）有红包吗
定金无法支付	这个为啥不能付定金
延迟下单	我要等19号在拍，我放购物车了
信用卡支付	支持信用卡支付吗
是否预售	这个不是预售吧
退件查询	货物退到哪里去啊
为何拒收	退货的商品你们拒收
优惠券如何用	不知道怎么样用优惠券
显示签收	是代理点签收的
商品质量问题	 质量有问题，怎么处理？
支持花呗	可以从银行卡里面分期吗
辱骂语言	你眼瞎
默认快递	是哪家快递公司送货的
包装方式	 这个是条装的还是散装的 
发错地址	你家给我发错地方了是吧
是否免息	不是六期免息吗
通常到货时间	周五能送到吗
邮费咨询	 新疆有运费吗 
是否免息	是免息分期付款嘛
加不了购物车	没法加入购物车啊
下单减价	 直接拍两件自动减价吗 
安装费用	包安装不收费吧
发错地址	发错地方根本联系不到
指定快递	这个可以改发顺丰吗
辱骂语言	这么垃圾
没有效果	没有效果怎么办
补发需求	 有货了给我补发 
免息活动时间	只有今天免息吗
商品材质	不锈钢材质的吗
货票同行	发货的时候有发票吗 
辱骂语言	你妈的什么东西
预约送货时间	我想需要下午1点后送可以不
换货条件	这款可以换颜色吗
发货形式	请问是一起发货吗
能否活动价格购买	亲我现在买能按双十一的价格吗
取消退款	我申请退款了，但我朋友又说不退了
安装异常	为啥安装不了
为何拒收	为什么快递是拒收退回
赠品挑选更换	赠品可否调换
礼品包装	专版包装吗
能否直播价购买	这个可以给我按直播价拿吗
微信支付	能微信支付吗
信用卡支付	如何信用卡支付
描述不符	 这产品跟描述不符
如何下单选购	 拍三减一是直接拍么
退款成功	第一次购货的退款成功了
货到付款	可以货到付款吗 
否认	还不行
不喜欢不合适	 有点短了 
定金支付问题	这是什么时候开始付定金
退款去向	退款后的钱是在支付宝里面吗
补差价购买	麻烦处理下换货商品补差价
售后维修网点	专卖店可以修吗
送货形式	 不送货到家吗 
安装网点	到哪里去安装呀
价格变动	价格上会有变动吗
我要买	我想买厚点的
赠送运费险	朋友代付有送运费险吗
赠品缺失	赠品怎么还没收到
配件套件单买	要是配件没了，外面有买的吗
坏了	 发一个坏的 
花呗还款	分期以后可以提前还款吗
直播价格	这个价钱是直播价吗
能否活动价格购买	能提前参加活动吗
求等	等我啊
否认	没啊
已拍已付	提交订单了
退换货地址	换货地址哪里呀
小票	有购物小票吗
门店信息	附近有实体店
索要补发信息	 这个补发快递没收到 
下单备注	备注是在这留么
凑单咨询	是怎么凑单
查询或下载发票	查询在哪里看发票
能否下单付款	  要等到开团才可以下单吗
用法用量	请问下怎么使用的
下单备注	备注了就可以了吗
直播领券	发张直播优惠券
预售退款	自动关闭交易，那定金能退吗
发错商品	我买的纸货给我发错了
试用装咨询	试用装免费么
赠品	这个有东西送吗
高危风险	请不要骚扰别人
换货维修运费	我想问一下想换货邮费自己出吗
货源产地	哪里进口
直播领券	现在直播优惠券还有吗
无理由退换	是否支持7天内无条件退换货
为何拒绝退款	不是同意退货了咋又拒绝了
丢件	 一星期都没更新了，是不是丢了 
货到付款	 顺丰，货到付款 
功效功能	起什么作用
搭配推荐	有里面配的衣服吗
开票内容	在哪填发票信息
发送截图	一会我把截图发给你
否认	没有诶
价格区别	这个颜色不同怎么价格不同
要求召回快递	您好，我不想买了，您能召回快递吗
直播奖品	宝宝来兑直播奖品呢
能否活动价格购买	按优惠价格卖可以吗
否认	怎么不对
描述不符	描述的跟实际不一样 
到付运费	可以申请顺丰到付吗
赠品挑选更换	赠品能否自选
使用及教学视频	使用视频发一个
补邮费咨询	选一个能航运的吧,我自己补运费可以吗
重复付款	你好，我重复付款了怎么办
分地址发货	这个一起付款可以发两个地方吗
物流揽件中	一直到现在都是显示等到揽收中
难过	太伤我心
查询或下载发票	发票在哪里下载
花呗额度	额度不足怎么办
发错商品	这单发错货了
开票内容	发票可以开成其他东西吗
开票类型	发票是机打发票么
是否有货	现在拍有货吗
礼品包装	给我看看包装盒子
商品规格	这个有多少片
如何下单选购	 直接拍4个 
发货地	这个为什么从ADDRESS发货
索要取件码	取件码没有收到
花呗额度	为什么显示分期额度不够
取消退款	我想取消退款怎么操作
是否预售	双十一有现货吗
未下单付款	刚好付款的时候超时了，忙了一天忘记付款了
合作推广	我看咱家宝贝挺好的，我们可以合作一下下吗
购买限制	 可以拍几件 
主播推荐	刚刚你们直播间里介绍的是哪款
店铺活动	这个有什么优惠
影响退换因素	没有包装盒了能退吗
无法分期付款	未成年不能分期吗
修改发票	 想改发票信息 
商品分类	你好请问是麻椒还是花椒
少件	为什么没有商品
定金无法支付	付不了定金
增值税发票	记得开增值税发票
领取优惠券	优惠券怎么领不了
新旧款区别	普通版，标准版，升级版差别在哪里
邮费咨询	 还有运费怎么免 
免定金咨询	免定金什么时候返
交易关闭	付款了但是有延迟自己不小心取消了订单然后显示交易关闭了
物流揽件中	怎么还没有揽件
发售咨询	什么时候开售
提醒发货检查	老板挑好点的
补发需求	 要求补发 
发货数量	拍[n3]能发[n3]吗
红包使用	我之前抽到一个五元红包怎么使用
直播优惠	直播是第二件免费是今天吗
退货条件	今天可以申请退款了吗
商品分类	这个是黑豆吗
退换货地址	给个换货地址
无法申请退款	没有申请退款按键
红包使用	红包可以赠送他人使用吗
商品价格	商品当前什么价格
购物券未收到	退回的购物券在哪里
优惠影响	我2件都分开付了没有优惠
未下单付款	忘记付款了，当时支付宝没余额
退款原因	退款说明要不要
合作推广	全渠道专业推广
下单减价	 亲，这个满减活动直接拍下减价还是领卷啊 
宝贝为何原价	为什么2件还是原价
期待	期待中
重拍商品	重拍怎么操作
破损	 后边指环断了 
版本款型区别	这两款有什么区别呀
用法用量	每[n3]克需要多少水来泡
商品挑选更换	那怎么选不同款式呢
修改收货信息	我怎么改地址
红包退款	红包不给退吗
准备或者已经申请退款	我刚才申请退货了
补发需求	 售后过啦，说给我补发 
高危风险	不想活了
延迟下单	我双十二活动买因为要买不少你们家的东西哦
适用人群	中年人可以用吗
发送截图	马上我截图给你
加单咨询	你好，我的订单还能加吗
索要说明书	给个说明书啊
颜色区别	颜色之间有性能差别吗
返现咨询	 如何返现
返现咨询	 不是说可以返现3元吗 
取消订单	子订单怎么取消
商品单卖	不单卖
通常发货时间	是否会根据支付时间先后发货
索要补发信息	 我少发货什么时候补发 
未支付尾款	抱歉忘了支付尾款，还来得及吗
换货需求	明天帮我换成大的
退货注意事项	那个画册也要一起退回去吗
增值税发票	可以开专票吗
退换货地址	退货地址是什么
直播渠道	是薇娅直播间过来的
加不了购物车	购物车都不能放
开票时间	 那个订单确认几天内可以开发票 
修改发票	 怎么修改发票信息 
重复付款	我刚刚不小心支付2次都成功了
观看直播	这款明天会有直播吗
退款金额	你们准备退多少
免息活动时间	亲过完双11还免息吗
优惠券退款	付款时返回，为什么优惠券没有了
显示签收	这都自动签收了
要求拒绝退款	可以帮我拒绝退款么
退货注意事项	售后服务卡怎么填
小票	能提供小票不
会员信息查询	那个会员等级，是不是在确认收货后才有更新
退货形式	这件跟白色一起邮寄的
丢件	 快件丢了 
申请退款后发货	早已申请退款为什么还要发货
能否下单付款	 亲，现在不可以下单 
显示确认收货	还没收到货已经确认收货了点错了
运费险理赔	在哪填写运费险
用法用量	这个是一天一片
红包未用	怎么我的满88减20的红包没用
清洁保养	你好这个灰色怎么拆开清洗
使用周期	多久用一次的
中奖名单	这是中奖了吗
保修咨询	我以后怎么保修呢
寄件范围	您好，请问可以发往韩国吗
加卡片	能写卡片吗
安装网点	我这里有安装点吗
花呗还款	用花呗怎么还款呀
退差价咨询	买贵了补差价吗
优惠券如何用	花呗分期的可以使用优惠券么
活动奖品	奖品怎么赢
退货形式	我三件一起寄过来
预售退款	直接退定金还是怎么着
漏了	 包裹收到了但是漏气了 
货到付款	 怎么货到付款啊 
颜色区别	黑色红色什么不同
主播推荐	薇娅推荐链接有吗
发错地址	我的东西发错地方怎么处理
安装服务及费用	包安装吗
领取红包	红包怎么领
何时上货	这款啥时有货
商品材质	那个金属是什么材质
寄件范围	可以寄到学校去吗
是否正品	您这里是正版吗
全国联保	保修是全国联保的吗
小票	收据有没
购物券退款	退款的单子里有购物券什么时候返回给我
修改邮费	怎么回事,怎么不改运费呢
我要买	我买一件
物流揽件中	怎么还在揽件
退款成功	你这都显示退款成功了
到手价咨询	这台全部优惠减完，到手价多少
保修卡咨询	有保修卡吗
修改订单信息	我看没发货呢，直接换小一码的呗
保密发货	亲,发快递的时候会有保密措施吗
发货数量	你好这款点一个是发一双是吗
花呗额度	我花呗额度只有1500
为何拒绝退款	为什么拒绝退款
配件套件单买	你好盖子上面的抓柄掉了有卖吗
修改价格	请改下价格
延迟下单	我明天早上买和今晚买
发货形式	一起包装发货还是分开发
售后服务咨询	申请售后的流程
活动奖品	昨天抽到奖品的怎么没有发呀
订单信息查询	你帮我看看我的订单
退差价咨询	麻烦退下差价吧
查询物流	我的订单到哪儿了
催促快递	包包怎么还不到，帮我催一下
好评返利	好评返现
购物券无法用	购物津贴怎么用不了
补差价购买	这样换的话补多少钱
购物券未使用	我的购物券还没用现在还能用吗
购买渠道区别	价格是否跟线下门店一样
如何下单选购	 直接拍37的就可以 
订单状态未同步	我的订单已合并付款，为什么订单里还有显示未付款的订单
无法分期付款	这个分期为什么不能用
换货需求	帮忙换个颜色行吗
催促换货操作	我的换货申请为什么还没有同意
索要补发信息	补发的货已经发货了吗 
安装费用	安装费单独算吗
好评返利	五星好评有红包么
质量情况	质量能保证吗
修改订单信息	我买的东西怎么换没发货呢
免定金咨询	免定金怎么免啊
为何拒收	东西到了为什么拒收
安装教程	好安装吗
优惠影响	重新下就不是这个价了
请求活动链接	亲，半价的链接发给我
货已收到	货收到了
秒杀	那个秒杀100元的链接还有吗
赠品属性咨询	里面送的那个勺子容量是多少
补差价购买	这我不退款，可以发其他产品，付差价不就行了
下单减价	 前100名半价是直接拍下减了还是确认收货退款
商品尺寸	直径多少
保修咨询	五年质保怎么保
索要说明书	发个电子说明书
为何召回快递	你为啥召回啊
取消退款	怎么取消退货申请
取消退款	我申请了退款，我要取消
求回复	回答呀
填改退货单号	退货快递单号
优惠券无法用	领了券怎么用不了
邮费咨询	 我分着买还有运费吗 
退款原因	退款原因我该怎么写
活动奖品	奖品能补吗
破损	破了个洞 
谅解	表示理解
购物券退款	领的购物券能退掉吗
购物券未使用	我有10块钱购物券忘记使用了
花呗期付	首付多少
为何下架	我看到你们商品下架了
辱骂语言	脑子呢
开票时间	 收到货之后再开发票 
请求活动链接	买三免一专区有没有链接啊
查询或下载发票	发票下载不了
发货地	货从哪里发出
直播奖品	直播间的奖品这里领吗
礼品包装	发过来的包装是怎么样的
求加微信	评价加什么微信
不喜欢不合适	 颜色不喜欢 
赠送运费险	我想问下11.11赠送运费险吗
索要图片信息	这个礼盒图片能让我看下吗
退款关闭	请问我发起的退款怎么关闭了
提醒发货检查	帮忙检查好质量，生产日期，谢谢
保修咨询	保修怎么算呢
商品挑选更换	高度可以选不一样的吗
延长收货时间	 换货的请帮我延长收货时间 
优惠券无法用	下单没有优惠券选项
发货数量	这个是发几支
预售退款	这款预付的定金是不退的吗
直播价格	今天这款直播299
求加微信	加你微信啦同意下
退款关闭	什么是退款关闭
运费险理赔	运费险赔多少
增值税发票	发票是增值税专用发票嘛
货已收到	货已经收到了
不发要退货	不发货我就退了，着急用呢
购买渠道区别	怎么我跟商场看的样式不一样
使用周期	能用三年吗
返红包	我的订单说好的返红包呢
商品规格	一盒有几瓶
辱骂语言	要不要脸呀
货已退回	我已经退了好几天了
指定快递	帮我备注一下发百世快递
领取购物券	购物券怎么领
高危风险	想自杀
退货时效	这个是多少天内可以退货
优惠券如何用	优惠券已领，怎么用
索要换货信息	换货白色的什么时候发货
返红包	前[n3]名返现红包
去拍去付	12点我就准备拍了啊
何时上货	黑色什么时候能有
要求延迟发货	可不可以晚会儿再给我发货啊
尾款支付问题	付定金后如何付尾款
能否降低活动门槛	这个还差一元怎么办
货到付款	 货到付款什么意思 
店铺活动	这款有活动吗
商品分类	你好。是抽纸和卷纸吗
门店信息	在哪里看实体店信息
修改退款信息	怎么改退货信息
退款原因	我不知道退款原因怎么写
破损	 沙发到家底下有刮破了 
感叹	我的天啊
索要取件码	取件码写错了
退货条件	这个可以退货吗
全国联保	可以全国联保吗
物流异常	 我的包裹一直没送来，物流上显示异常
免息活动时间	什么时候12期免息
退款金额	我不退货退款多少
购买渠道区别	你们是不是和实体店的货不一样
描述不符	 买回来的实物和照片不一样 
开票类型	有纸质发票吗
索要重发信息	想问重新发货没有
无法下单	点立即购买没用
修改发票	 这个订单发票抬头能改下吗 
为何下架	怎么下架了
无法分期付款	没有分期按键啊
描述不符	 为什么我收到的货和我拍的不符呢 
索要取件码	我的取件码不小心删掉了
否认	没解决
会员信息查询	我是会员吗
物流无更新	快递没更新状态呢
尾款无法支付	没有找到付尾款的页面
使用周期	这个东西能用几次啊
去拍去付	马上就拍了
为何拒收	为什么我的退货快递被拒收了
难过	呜呜
增值税发票	我需要开增值税发票
退款去向	你们退款是推到卡里还是支付宝
补偿赔偿	发错货也要补偿一下吧,我也有损失的
发票缺失	有个订单没有开发票
保修咨询	保修内容是什么
信用卡支付	你们不支持信用卡支付吗
上门取件	我所在的城市支持上门取件吗
是否备注	直播需要备注什么吗
商品说明	这个感温款是什么意思
通常发货时间	这个月几号发货呢
宝贝为何原价	两件价格未减
商品说明	这个紫草膏是什么呀
质量情况	有质量保障吗
安装异常	都装不上去的
感叹	服了
能否多送	可以多送一条么
使用及教学视频	这个怎么贴,有视频教程
积分兑换	什么时候有积分兑换
未下单付款	我忘记付款了怎么办
退款金额	吃了几颗也能退,那退多少呢
新旧款区别	升级款跟原来的有什么不同
少件	我买了三件，为什么只收到一件
发错地址	查看物流,发错地方了
无法拒收	我不在家拒收不了
通常到货时间	几天能收到货
影响退换因素	包装拆了能退货吗
赠品发货咨询	这个买两件送的东西是直接由仓库一起发货的是吗
包装要求	那麻烦好好包装
合并付款	定金尾款能不能合并付款
未下单付款	我提交了还没付款
售后服务咨询	有什么售后呢
订单信息查询	就是能不能帮我看一下我的收货地址吗
货票同行	 发票是随货品一起的么
安装服务及费用	买了谁来安装呢
为何拒绝退款	我退款的怎么拒绝处理
分地址发货	一个订单可以分两个地址嘛
请求活动链接	配件六折的链接给我下
商品材质	三色也是铝材质的吗
包装区别	豪华装简装什么区别
如何下单付款	是从卡里直接扣是么
分地址发货	这两件我要发两个地址
修改发票	 我有选择发票 但是发票抬头错了
功效功能	主要作用是什么呢
普通发票	货已收到，申请开发票
中奖名单	名单出来了吗
货已收到	我收到货了
加卡片	亲??拍下可以帮忙写贺卡是吗
货票同行	 发票不跟货一起发吗 
中奖名单	具体什么时候公布中奖名单啊
确认收货时间	啥时候会自动确认收货
放弃	算了先这样吧
愤怒情绪	根本不解决问题
换货条件	这两款可以换吗
商品单卖	**（商品）不能单独买吗
预约安装	有安装电话么
索要重发信息	重新发货的订单号是多少
返红包	有没有返红包的
用法用量	那怎么打气呀
填改退货单号	麻烦你发一下退货链接，我想填退货单号
补差价购买	换货还是以前的方式吗先拍下新的在退货老的补差价是吗
预售退款	重新下单退定金吗
直播优惠	直播优惠，赠品也一样吗
未支付尾款	预售忘记付尾款
要求拒绝退款	那你不同意退款好吗
索要换货信息	换货发货时间
活动奖品	送奖品是随意发的嘛
货已退回	这个快递我联系了，已经给我退回去了
邮费咨询	 单拍还有快递费吗 
普通发票	 帮我开一下发票吧 
保修咨询	怎样保修的
领取红包	什么时候还能领红包
开票类型	提供机打发票么
直播领券	那个直播咨询客服怎么抢优惠卷
退款成功	申请退款成功了
坏了	 是坏了个角 
取消退款	我点错，如何取消申请退款
货已退回	我退货了，昨天发的圆通
开票时间	 下单时我勾选了要发票的，请尽快补开
加卡片	里面可以放卡片吗
花呗期付	用花呗分期付款要付利息吗
无物流记录	货到哪里了，没有物流信息吗
为何拒绝退款	退款怎么拒绝了
催促退款	你好，请处理一下退款申请
没有效果	怎么好像没有效果啊
取消订单	商品库存不足那就得取消订单了
定金支付问题	定金支付多少
退货形式	你好，我退货的几件可以放一起发货吗
如何下单付款	请问支付宝可以指纹付款吗
尾款无法支付	怎么没法付尾款，系统关闭了
免息活动时间	那0点之后还有12期免息吗
运费险理赔	怎么运费险还没来呀老板
索要取件码	我的快递取件码是什么
合并付款	请问预售尾款可以合并付款吗
配件套件单买	我买完以后可以配配件吗
购物券未使用	这个购物券刚才忘记用了
优惠叠加	预定了，还能用优惠券和天猫购物券吗
使用周期	一瓶用多少次
开票时间	 什么时候开发票过来 
邮费议价	运费能不能减下
索要说明书	详细说明书有附带么
适用人群	学生适合用吗
为何拒收	为什么要拒收
退货运费	退快递费怎么退
包装区别	电商专供和这个包装有区别吗
保价咨询	保价到双12吗
宝贝为何原价	买二付一价格未减
物流异常	 没派送，就显示异常了 
售后服务咨询	快速售后（换修）
赠品缺失	赠品没收到
退款去向	看见退款成功，但是没看见钱进来
规格尺寸区别	50克的和90克的有区别吗
准备或者已经申请退款	我买的那个退款申请了 
中奖名单	那等你们什么时候公布名单
显示有下单未付款交易	显示还有买家未付款
质量情况	质量如何
清洁保养	宝贝怎么清洗
退换货物流	退货可以发中通快递吗
坏了	 在你家买的胸针才用两天都坏了 
赠品属性咨询	送的杯子是多大的
无法拒收	没办法拒收
我要买	我想买个这个
价格区别	同一种，价格咋这大区别
修改邮费	在吗我拍下订单你改一下运费
会员申请	有会员卡吗
加卡片	想问一下可以代写卡片吗
商品分类	亲,这是水还是乳
秒杀	这个是零点秒杀的
退货时效	你好最近外出了得再过几天退货
购物券使用	可以使用多少钱的购物券
返红包	已经确定收货了，红包什么时候返
保价咨询	这款有没有保价的
微信支付	可以微信支付吗
求加微信	要加这个微信
补偿赔偿	包赔吗
直播奖品	直播中奖来领券
功效功能	可以改善睡眠么
发货地	这是在哪里发货
退款金额	那么具体要退多少呀
加不了购物车	没有加入购物车选项
直播优惠	我在直播间买是不是有赠品
货已收到	宝贝收到了
商品清单	四件套里面是什么
积分兑换	积分兑换要收其他费用吗
催促退款	怎么还没有退款
门店信息	实体店具体店名和联系方式给我一下
为何下架	现在这个不是下架了么
能否直播价购买	帮忙申请直播价
领取购物券	什么时候还能领购物券
店铺活动	明天会有活动吧
使用周期	那1盒能用多久
颜色推荐	一般是买哪些颜色
直播购买指南	直播价8.5折怎么拍
质量情况	有品质保证吗
重开发票	 你的发票开错了，要求重开 
未收到货	之前的4件玩具没到
尾款无法支付	上面没有付尾款的位置啊
为何还有运费	 已提交订单，但是有运费 
交易关闭	买家已付款，但是交易显示关闭
发货形式	又拍了两件可以一起发货吗
中奖名单	中奖名单发一下吧
退款关闭	退货怎么关闭了
高危风险	严重烫伤
物流异常	 为什么两个包裹显示异常准备退回？
安装异常	东西怎么装不上去
红包未收到	红包哪里查
维修需求	如何办理售后维修
求回复	咋说
要求拒绝退款	我弄错了，你拒绝退款吧
退货运费	退货有运费补贴嘛
未下单付款	之前活动价拍了忘记付款了
请求活动通知	双11搞活动也不提醒一下
价格变动	看着便宜,没想涨价了
已拍已付	拍的东西已经付款了
不要开票	 你好我这票货请不要提供发票 
修改退款信息	如何修改退款申请
订单信息查询	帮我看一下[n18]
要求召回快递	你们不可以现在召回快递么
修改收货信息	想改订单收货地址怎么办
修改邮费	重新下了一单,改下运费
花呗还款	请问下我分三期购买到时候怎么还款
失望情绪	你的鞋底我不满意
默认快递	走什么快递呀
默认快递	你们发什么快递
加不了购物车	为啥加不了购物车
优惠影响	我退了再拍就是原价
无理由退换	支持无理由退款吗
补邮费咨询	补运费怎么算
会员申请	怎么成为会员
高危风险	我多次有过自杀的念头
用法用量	哪里有设置啊
索要换货信息	要求换码的内衣为什么还没收到
索要换货信息	换货单号发我一下
尾款无法支付	没有找到付尾款地方
礼品包装	有礼品盒子么
催促快递	能送快点吗
运费险购买	不能自己买运费险吗
宝贝为何原价	怎么订单显示的是原价呢
新旧款区别	升级款有什么不同
退款金额	我买的这款是原价退吗
微信支付	能不能微信支付
商品材质	是全瓷胶吗
无法拒收	我这边的确拒收不了
取消退款	帮我取消退款
高危风险	买个东西都毁容了。又缝针又打针的
补偿赔偿	补偿退支付宝嘛
发错商品	自己发错货的麻烦自己出运费
退款原因	退货原因写无理由可以吗
物流无更新	物流怎一直没变化
售后维修网点	**（地区）有售后点吗
保修卡咨询	咱们没有保修卡的吗
修改订单信息	你们没发货之前我想换一个款式
申请退款后发货	在你们发货之前我就已经退款了
商品清单	这里面有勺子吗
为何拒收	快递现在给电话我你们拒收了
安装网点	货到了我去哪安装啊
重复付款	重复多次付款了
为何下架	产品怎么下架了
无法申请退款	没有退款按钮
直播渠道	从抖音直播间来的
好评返利	五分返利
送货形式	 送货上门 
购物券无法用	付款时候不能用购物券吗
准备或者已经申请退款	我点退货了
使用花呗	不能花呗么
